Nome do Hotel;Preço;Nota;Quarto;Número de avaliações
Pousada Ibiscus;R$ 5.045;8,9;Quarto Duplo Standard;676 avaliações
Casa Valentini Pousada;R$ 8.000;9,1;Quarto Triplo Comfort;462 avaliações
Pousada Pedra Furada;R$ 4.150;8,3;Quarto Duplo;182 avaliações
Samba do Kite Pousada;R$ 6.160;8,3;Quarto Triplo Standard;452 avaliações
Araxá Pousada;R$ 7.353;8,4;Suíte Dupla Standard;201 avaliações
My Blue Hotel;R$ 11.490;8,0;Quarto Standard;1.862 avaliações
Pousada Villa Flores;R$ 4.600;8,2;Apartamento Standard;206 avaliações
CasaLô Hotel;R$ 11.500;9,1;Quarto Duplo Standard;285 avaliações
Pousada Ponta Da Pedra;R$ 6.000;8,6;Quarto Duplo Standard;528 avaliações
Casarão Jeri;R$ 6.250;8,8;Quarto Duplo Standard;208 avaliações
All Blue;R$ 4.350;7,4;Quarto Triplo Standard;761 avaliações
Aurora Jericoacoara;R$ 3.500;8,9;Quarto Duplo;191 avaliações
Naquela Jericoacoara;R$ 10.331;8,9;Quarto Triplo com Varanda;305 avaliações
B&B Girassol;R$ 4.990;9,3;Quarto Duplo Clássico com Varanda;587 avaliações
Pousada CasAlice;R$ 5.600;9,4;Suíte Deluxe com Cama Queen-size;239 avaliações
Pousada Carioca - Pousada de Charme;R$ 4.914;8,7;Quarto Triplo com Banheiro Privativo;264 avaliações
Villa Água de Coco;R$ 6.000;9,9;Apartamento Standard;8 avaliações
Pousada Vila de Pedra;R$ 5.282;9,0;Quarto Triplo Standard;316 avaliações
Hotel Villa Terra Viva;R$ 7.894;8,3;Quarto Superior com Vista da Piscina;320 avaliações
Recanto do Barao Pousada;R$ 5.544;8,8;Quarto Deluxe com Cama King-size;437 avaliações
Casa na Praia;R$ 13.620;9,5;Suíte com Jardim;510 avaliações
Pousada Caminho da Praia;R$ 9.670;8,8;Quarto Triplo Deluxe no Último Andar;367 avaliações
Pousada Baobá;R$ 5.563;7,5;Quarto Duplo Superior;145 avaliações
Pousada do Norte;R$ 7.005;9,2;Apartamento no Térreo;435 avaliações
